year,average height,team
2014,73.9,Texas Rangers
2014,73.9,Pittsburgh Pirates
2014,73.9,Houston Astros
2014,73.9,Baltimore Orioles
2014,73.9,Philadelphia Phillies
2014,74.0,Miami Marlins
2014,74.0,Colorado Rockies
2014,74.1,Atlanta Braves
2014,74.2,Seattle Mariners
2014,74.3,Chicago White Sox
2014,74.4,Detroit Tigers
2014,74.4,Washington Nationals
2013,73.0,Kansas City Royals
2013,73.1,Milwaukee Brewers
2013,73.2,San Diego Padres
2013,73.3,Toronto Blue Jays
2013,73.3,Oakland Athletics
2013,73.3,San Francisco Giants
2013,73.4,New York Mets
2013,73.4,Los Angeles Dodgers
2013,73.4,Chicago Cubs
2013,73.4,Boston Red Sox
2013,73.4,Arizona Diamondbacks
2013,73.4,Tampa Bay Rays
2013,73.5,Houston Astros
2013,73.5,St. Louis Cardinals
2013,73.6,Cleveland Indians
2013,73.6,Atlanta Braves
2013,73.7,Los Angeles Angels of Anaheim
2013,73.7,Minnesota Twins
2013,73.7,Philadelphia Phillies
2013,73.8,New York Yankees
2013,73.8,Detroit Tigers
2013,73.8,Washington Nationals
2013,73.8,Texas Rangers
2013,73.9,Cincinnati Reds
2013,73.9,Pittsburgh Pirates
2013,74.0,Colorado Rockies
2013,74.1,Baltimore Orioles
2013,74.1,Chicago White Sox
2013,74.1,Miami Marlins
2013,74.3,Seattle Mariners
2012,72.9,Kansas City Royals
2012,73.2,Arizona Diamondbacks
2012,73.3,Milwaukee Brewers
2012,73.3,Los Angeles Angels of Anaheim
2012,73.3,Toronto Blue Jays
2012,73.4,St. Louis Cardinals
2012,73.4,Minnesota Twins
2012,73.4,Oakland Athletics
2012,73.5,Miami Marlins
2012,73.5,Chicago Cubs
2012,73.5,Boston Red Sox
2012,73.5,Atlanta Braves
2012,73.6,Colorado Rockies
2012,73.6,Los Angeles Dodgers
2012,73.6,San Francisco Giants
2012,73.7,San Diego Padres
2012,73.7,Tampa Bay Rays
2012,73.8,Chicago White Sox
2012,73.8,Cincinnati Reds
2012,73.8,Detroit Tigers
2012,73.8,Pittsburgh Pirates
2012,73.8,Texas Rangers
2012,73.9,Houston Astros
2012,73.9,Baltimore Orioles
2012,73.9,New York Yankees
2012,73.9,Washington Nationals
2012,73.9,Philadelphia Phillies
2012,74.0,New York Mets
2012,74.0,Seattle Mariners
2012,74.1,Cleveland Indians
2011,73.0,Houston Astros
2011,73.1,Los Angeles Angels of Anaheim
2011,73.1,Milwaukee Brewers
