year,average weight,team
2014,211.6,San Diego Padres
2014,211.0,Colorado Rockies
2014,210.8,St. Louis Cardinals
2014,210.8,Los Angeles Angels of Anaheim
2014,210.6,Milwaukee Brewers
2014,209.7,Boston Red Sox
2014,209.0,Cleveland Indians
2014,208.3,Tampa Bay Rays
2014,208.3,Toronto Blue Jays
2014,207.4,Kansas City Royals
2014,206.9,Baltimore Orioles
2013,218.8,Seattle Mariners
2013,217.5,Detroit Tigers
2013,216.7,Cincinnati Reds
2013,216.6,Miami Marlins
2013,216.6,Pittsburgh Pirates
2013,216.4,Chicago White Sox
2013,214.9,Los Angeles Dodgers
2013,214.4,Philadelphia Phillies
2013,214.2,Los Angeles Angels of Anaheim
2013,214.0,Washington Nationals
2013,213.9,New York Yankees
2013,212.6,San Francisco Giants
2013,212.3,New York Mets
2013,212.2,Houston Astros
2013,212.1,Atlanta Braves
2013,211.9,Arizona Diamondbacks
2013,211.6,St. Louis Cardinals
2013,211.4,Minnesota Twins
2013,211.3,Baltimore Orioles
2013,211.2,Texas Rangers
2013,211.2,Toronto Blue Jays
2013,211.0,Tampa Bay Rays
2013,210.5,San Diego Padres
2013,210.5,Chicago Cubs
2013,210.0,Colorado Rockies
2013,209.9,Milwaukee Brewers
2013,209.6,Cleveland Indians
2013,209.6,Boston Red Sox
2013,209.2,Oakland Athletics
2013,206.6,Kansas City Royals
2012,217.5,Cincinnati Reds
2012,216.6,Seattle Mariners
2012,216.3,New York Mets
2012,215.8,Chicago White Sox
2012,215.8,San Francisco Giants
2012,215.7,Miami Marlins
2012,215.4,Los Angeles Dodgers
2012,215.0,Washington Nationals
2012,214.1,Kansas City Royals
2012,214.0,Los Angeles Angels of Anaheim
2012,214.0,Arizona Diamondbacks
2012,213.5,Philadelphia Phillies
2012,213.4,New York Yankees
2012,213.1,Houston Astros
2012,213.1,Oakland Athletics
2012,212.3,Detroit Tigers
2012,212.2,Pittsburgh Pirates
2012,212.0,Texas Rangers
2012,211.5,Cleveland Indians
2012,211.3,Boston Red Sox
2012,211.2,Atlanta Braves
2012,211.1,Toronto Blue Jays
2012,210.8,Baltimore Orioles
2012,210.8,St. Louis Cardinals
2012,210.4,San Diego Padres
2012,209.9,Tampa Bay Rays
2012,209.6,Minnesota Twins
2012,208.9,Colorado Rockies
2012,208.8,Chicago Cubs
2012,207.5,Milwaukee Brewers
2011,217.8,Seattle Mariners
2011,217.3,New York Yankees
2011,217.0,Arizona Diamondbacks
2011,216.4,Chicago White Sox
2011,216.3,Cincinnati Reds
2011,215.4,Washington Nationals
2011,214.8,Toronto Blue Jays
2011,214.3,Florida Marlins
2011,214.2,Detroit Tigers
2011,214.0,Oakland Athletics
2011,213.7,Philadelphia Phillies
2011,213.6,Minnesota Twins
2011,213.6,Chicago Cubs
2011,213.6,Kansas City Royals
2011,213.5,Los Angeles Dodgers
2011,213.2,New York Mets
2011,212.6,Pittsburgh Pirates
2011,212.6,Cleveland Indians
2011,212.1,San Diego Padres
2011,212.0,Texas Rangers
2011,211.8,Colorado Rockies
2011,211.4,San Francisco Giants
2011,211.3,Boston Red Sox
2011,210.9,Houston Astros
2011,210.8,Baltimore Orioles
2011,210.6,Los Angeles Angels of Anaheim
2011,210.0,Tampa Bay Rays
2011,209.5,St. Louis Cardinals
2011,208.5,Milwaukee Brewers
2011,206.9,Atlanta Braves
2010,217.6,Chicago White Sox
2010,217.3,New York Yankees
2010,216.6,Washington Nationals
2010,215.7,Chicago Cubs
2010,215.7,Minnesota Twins
2010,215.1,Cincinnati Reds
2010,214.7,Texas Rangers
2010,214.3,Florida Marlins
2010,213.4,Pittsburgh Pirates
2010,212.5,Seattle Mariners
2010,212.2,Toronto Blue Jays
2010,212.1,Cleveland Indians
2010,211.8,Baltimore Orioles
2010,211.7,Los Angeles Dodgers
2010,211.6,Los Angeles Angels of Anaheim
2010,211.5,Tampa Bay Rays
2010,211.5,San Diego Padres
2010,211.5,Boston Red Sox
2010,211.0,Milwaukee Brewers
2010,210.9,Philadelphia Phillies
2010,210.9,Colorado Rockies
2010,210.6,Arizona Diamondbacks
2010,210.1,St. Louis Cardinals
2010,209.4,Atlanta Braves
2010,209.4,Oakland Athletics
2010,209.3,Detroit Tigers
2010,209.1,Kansas City Royals
2010,208.5,Houston Astros
2010,207.7,New York Mets
2010,206.8,San Francisco Giants
2009,221.3,Chicago White Sox
2009,217.5,Texas Rangers
2009,214.4,Cincinnati Reds
2009,214.3,New York Yankees
2009,213.5,Los Angeles Dodgers
2009,213.0,Oakland Athletics
2009,212.9,Minnesota Twins
2009,212.6,Washington Nationals
2009,212.4,Arizona Diamondbacks
2009,211.8,Florida Marlins
2009,211.2,Milwaukee Brewers
2009,211.2,Seattle Mariners
2009,210.9,Toronto Blue Jays
2009,210.5,Kansas City Royals
2009,210.2,Los Angeles Angels of Anaheim
2009,210.1,St. Louis Cardinals
2009,209.8,Cleveland Indians
2009,209.8,Pittsburgh Pirates
2009,209.6,Boston Red Sox
2009,209.5,Baltimore Orioles
2009,209.1,Detroit Tigers
2009,208.4,Philadelphia Phillies
2009,207.9,Atlanta Braves
2009,207.6,Colorado Rockies
2009,207.6,Houston Astros
2009,206.7,San Francisco Giants
2009,205.8,Chicago Cubs
2009,205.1,San Diego Padres
2009,204.6,Tampa Bay Rays
2009,204.4,New York Mets
2008,219.7,Chicago White Sox
2008,218.1,New York Yankees
2008,217.4,Texas Rangers
2008,213.5,Seattle Mariners
2008,213.2,Minnesota Twins
2008,212.9,Arizona Diamondbacks
2008,212.6,Florida Marlins
2008,212.0,Los Angeles Dodgers
2008,211.1,Washington Nationals
2008,210.9,Milwaukee Brewers
2008,210.5,Cincinnati Reds
2008,210.3,Cleveland Indians
2008,209.5,Detroit Tigers
2008,209.1,Kansas City Royals
2008,209.1,St. Louis Cardinals
2008,209.0,Los Angeles Angels of Anaheim
2008,208.9,Pittsburgh Pirates
2008,208.4,Boston Red Sox
2008,208.4,Atlanta Braves
2008,208.4,Chicago Cubs
2008,207.9,Baltimore Orioles
2008,206.7,Oakland Athletics
2008,206.7,Toronto Blue Jays
2008,206.3,Colorado Rockies
2008,205.9,Tampa Bay Rays
2008,204.3,Houston Astros
2008,202.9,San Diego Padres
2008,202.6,Philadelphia Phillies
2008,202.2,New York Mets
2008,200.3,San Francisco Giants
2007,219.0,Chicago White Sox
2007,215.0,New York Yankees
2007,214.7,Atlanta Braves
2007,212.6,Texas Rangers
2007,212.2,Milwaukee Brewers
2007,211.7,Washington Nationals
2007,210.1,Pittsburgh Pirates
2007,209.9,Los Angeles Angels of Anaheim
2007,209.6,Arizona Diamondbacks
2007,209.4,Philadelphia Phillies
2007,209.1,Seattle Mariners
2007,208.4,Cleveland Indians
2007,207.9,Minnesota Twins
2007,207.8,Cincinnati Reds
2007,207.2,Florida Marlins
2007,207.1,Los Angeles Dodgers
2007,206.6,Houston Astros
2007,206.5,Detroit Tigers
2007,206.4,Boston Red Sox
2007,206.2,Chicago Cubs
2007,206.0,Kansas City Royals
2007,205.9,San Diego Padres
2007,204.5,Colorado Rockies
2007,204.0,Tampa Bay Devil Rays
2007,203.9,St. Louis Cardinals
2007,203.8,Baltimore Orioles
2007,203.8,Toronto Blue Jays
2007,203.3,Oakland Athletics
2007,202.3,San Francisco Giants
2007,199.5,New York Mets
2006,217.0,Florida Marlins
2006,213.1,Chicago White Sox
2006,212.4,Texas Rangers
2006,211.4,Atlanta Braves
2006,210.8,Los Angeles Angels of Anaheim
2006,210.7,Detroit Tigers
2006,210.6,Cleveland Indians
2006,210.1,Milwaukee Brewers
2006,209.4,New York Yankees
2006,208.5,Pittsburgh Pirates
2006,208.4,Los Angeles Dodgers
2006,207.3,Seattle Mariners
2006,206.7,Minnesota Twins
2006,206.0,Boston Red Sox
2006,204.7,Kansas City Royals
2006,204.2,New York Mets
2006,204.0,Tampa Bay Devil Rays
2006,204.0,Houston Astros
2006,203.9,Arizona Diamondbacks
2006,203.7,Chicago Cubs
2006,202.3,St. Louis Cardinals
2006,202.2,Oakland Athletics
2006,201.9,Cincinnati Reds
2006,201.8,Toronto Blue Jays
2006,201.7,Baltimore Orioles
2006,201.4,San Diego Padres
2006,200.3,Colorado Rockies
2006,199.9,San Francisco Giants
2006,199.7,Washington Nationals
2006,199.4,Philadelphia Phillies
2005,210.3,Texas Rangers
2005,210.2,Cleveland Indians
2005,209.7,Milwaukee Brewers
2005,208.6,Chicago White Sox
2005,207.2,Atlanta Braves
2005,207.1,Pittsburgh Pirates
2005,206.6,Los Angeles Dodgers
2005,205.5,Detroit Tigers
2005,205.4,Tampa Bay Devil Rays
2005,204.9,Florida Marlins
2005,203.6,Los Angeles Angels of Anaheim
2005,203.1,Cincinnati Reds
2005,203.1,Minnesota Twins
2005,202.9,Seattle Mariners
2005,202.3,St. Louis Cardinals
2005,202.2,Chicago Cubs
2005,202.2,Arizona Diamondbacks
2005,202.0,Baltimore Orioles
2005,201.4,Washington Nationals
2005,201.2,Toronto Blue Jays
2005,201.0,Kansas City Royals
2005,200.2,Colorado Rockies
2005,199.7,New York Mets
2005,199.3,Boston Red Sox
2005,199.3,Philadelphia Phillies
2005,199.2,San Francisco Giants
2005,198.3,Houston Astros
2005,198.0,New York Yankees
2005,197.5,Oakland Athletics
2005,197.4,San Diego Padres
2004,207.9,Chicago White Sox
2004,207.8,Texas Rangers
2004,206.5,Detroit Tigers
2004,205.3,Cleveland Indians
2004,204.7,Minnesota Twins
2004,204.2,Los Angeles Dodgers
2004,204.0,Philadelphia Phillies
2004,203.8,Tampa Bay Devil Rays
2004,203.2,Montreal Expos
